Total Fat (g),Trans Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g),Caffeine (mg),Caffeine (mg)_was_missing,Total Fat (g)_was_missing
9.0,2.5,0.0,0,140,47,4,33,14.0,180.0,0,0
1.0,0.5,0.0,0,200,33,1,30,4.0,95.0,0,0
0.1,0.1,0.0,5,75,10,0,9,6.0,75.0,0,0
6.0,3.0,0.2,25,140,41,1,40,10.0,55.0,0,0
5.0,2.5,0.2,20,125,28,0,27,9.0,75.0,0,0
5.0,2.5,0.2,20,125,38,0,38,9.0,75.0,0,0
2.5,1.5,0.0,5,150,53,7,34,20.0,75.0,0,0
3.5,0.4,0.0,0,80,27,1,25,6.0,75.0,0,0
1.0,0.5,0.0,5,70,17,0,15,6.0,75.0,0,0
2.5,0.3,0.0,0,60,21,1,19,4.0,75.0,0,0
10.0,5.0,0.3,40,230,72,2,71,17.0,110.0,0,0
0.1,0.1,0.0,0,210,26,0,26,3.0,95.0,0,0
2.5,1.5,0.1,10,160,36,0,36,3.0,70.0,0,0
5.0,1.0,0.0,5,115,29,1,24,9.0,150.0,0,0
3.0,2.0,0.1,10,220,50,0,50,3.0,95.0,0,0
3.0,1.0,0.0,0,60,14,1,11,4.0,75.0,0,0
0.1,0.1,0.0,5,60,8,0,7,5.0,75.0,0,0
0.1,0.0,0.0,0,5,31,0,31,0.4,235.0,0,0
0.0,0.0,0.0,0,5,1,0,0,0.4,75.0,0,0
4.5,0.5,0.0,0,110,36,2,33,9.0,55.0,0,0
8.0,4.5,0.2,25,140,42,2,34,13.0,175.0,0,0
2.0,0.4,0.0,5,120,58,8,40,16.0,0.0,0,0
1.5,0.5,0.0,5,125,53,6,37,16.0,0.0,0,0
11.0,7.0,0.2,25,250,61,0,58,15.0,150.0,0,0
7.0,1.0,0.0,0,160,39,2,33,12.0,150.0,0,0
5.0,4.0,0.0,5,320,58,2,52,7.0,165.0,0,0
0.1,0.1,0.0,5,70,9,0,8,6.0,75.0,0,0
7.0,2.0,0.0,0,125,41,3,32,12.0,25.0,0,0
1.5,0.2,0.0,0,150,35,0,34,2.0,70.0,0,0
0.0,0.0,0.0,0,15,4,0,0,1.0,300.0,0,0
0.1,0.1,0.0,5,65,23,0,23,5.0,0.0,0,0
1.5,0.2,0.0,0,45,34,0,33,3.0,170.0,0,0
0.1,0.0,0.0,0,10,0,0,0,1.0,410.0,0,0
0.0,0.0,0.0,0,0,0,0,0,0.0,75.0,0,0
0.2,0.2,0.0,5,120,16,0,14,10.0,150.0,0,0
0.1,0.1,0.0,5,65,23,0,23,5.0,75.0,0,0
0.1,0.1,0.0,5,270,34,0,33,5.0,120.0,0,0
1.5,0.2,0.0,0,210,49,0,47,3.0,95.0,0,0
0.1,0.1,0.0,0,200,33,0,32,3.0,90.0,0,0
3.0,0.4,0.0,0,65,7,1,4,5.0,75.0,0,0
0.1,0.1,0.0,0,50,36,0,36,4.0,125.0,0,0
6.0,4.5,0.0,10,240,61,0,58,15.0,150.0,0,0
0.3,0.2,0.0,5,140,37,0,35,12.0,150.0,0,0
0.2,0.2,0.0,5,120,15,0,14,10.0,75.0,0,0
0.0,0.0,0.0,0,0,49,0,49,0.1,75.0,0,0
3.5,1.5,0.1,15,90,34,0,32,6.0,70.0,0,0
6.0,1.5,0.0,0,95,32,2,25,9.0,20.0,0,0
7.0,6.0,0.0,10,310,78,0,74,19.0,150.0,0,0
10.0,7.0,0.2,15,340,90,2,84,7.0,145.0,0,0
0.5,0.4,0.0,0,150,24,1,23,3.0,70.0,0,0
2.0,1.0,0.0,5,110,37,1,32,11.0,20.0,0,0
6.0,3.0,0.2,25,135,15,0,14,10.0,75.0,0,0
0.4,0.3,0.0,10,190,25,0,23,16.0,150.0,0,0
0.2,0.1,0.0,5,125,14,0,13,9.0,75.0,0,0
2.5,0.3,0.0,0,290,75,1,73,5.0,130.0,0,0
2.0,1.0,0.1,10,50,15,0,15,3.0,75.0,0,0
4.0,2.0,0.1,10,70,21,1,17,6.0,85.0,0,0
0.0,0.0,0.0,0,0,15,0,15,0.0,170.0,0,0
8.0,4.5,0.2,35,180,43,0,40,13.0,150.0,0,0
7.0,5.0,0.1,10,250,67,2,62,5.0,110.0,0,0
3.0,1.5,0.1,15,75,23,0,23,5.0,75.0,0,0
6.0,3.5,0.1,15,300,80,1,76,6.0,140.0,0,0
1.0,0.5,0.0,5,280,46,1,42,6.0,130.0,0,0
4.0,2.0,0.1,15,80,16,0,15,5.0,75.0,0,0
6.0,3.0,0.2,25,135,16,0,14,10.0,150.0,0,0
2.0,1.0,0.1,10,55,22,0,21,4.0,50.0,0,0
0.2,0.1,0.0,5,90,12,0,10,8.0,150.0,0,0
2.5,1.5,0.1,10,160,42,0,41,3.0,70.0,0,0
4.5,1.5,0.0,5,150,51,7,31,19.0,15.0,0,0
1.5,0.2,0.0,0,150,40,0,39,2.0,70.0,0,0
2.5,0.3,0.0,0,300,68,1,66,5.0,130.0,0,0
0.1,0.1,0.0,0,160,39,0,38,4.0,0.0,0,0
6.0,3.5,0.0,0,240,65,2,60,4.0,110.0,0,0
0.0,0.0,0.0,0,0,25,0,24,0.1,75.0,0,0
0.1,0.1,0.0,5,80,9,0,8,6.0,75.0,0,0
3.5,1.5,0.1,15,80,9,0,8,6.0,75.0,0,0
3.5,1.0,0.0,0,60,23,2,18,6.0,10.0,0,0
5.0,1.5,0.0,0,85,28,2,20,9.0,95.0,0,0
0.0,0.0,0.0,0,1,2,0,0,1.0,150.0,0,0
3.5,2.0,0.1,10,220,60,0,59,3.0,100.0,0,0
0.1,0.0,0.0,0,30,24,0,24,2.0,90.0,0,0
2.0,0.2,0.0,0,180,51,1,49,3.0,0.0,0,0
0.1,0.1,0.0,5,300,70,0,69,6.0,95.0,0,0
3.0,2.0,0.1,10,160,42,1,40,3.0,70.0,0,0
8.0,1.0,0.0,0,180,64,4,58,14.0,110.0,0,0
0.3,0.2,0.0,10,180,47,0,45,15.0,150.0,0,0
0.1,0.0,0.0,0,25,18,0,18,2.0,90.0,0,0
4.0,3.0,0.0,0,240,43,2,39,5.0,105.0,0,0
0.1,0.0,0.0,0,10,0,0,0,0.5,260.0,0,0
3.5,0.4,0.0,0,80,9,1,5,7.0,150.0,0,0
4.0,2.0,0.1,15,95,31,0,30,7.0,0.0,0,0
0.1,0.1,0.0,0,45,16,0,16,4.0,75.0,0,0
0.2,0.1,0.0,5,110,39,0,39,9.0,0.0,0,0
0.0,0.0,0.0,0,0,0,0,0,0.0,75.0,0,0
0.0,0.0,0.0,0,15,53,0,49,0.0,0.0,0,0
6.0,3.0,0.2,25,150,56,0,53,10.0,120.0,0,0
4.5,2.5,0.1,15,80,26,1,22,7.0,10.0,0,0
0.1,0.1,0.0,0,220,60,0,59,4.0,100.0,0,0
3.0,2.0,0.0,5,120,31,0,29,7.0,75.0,0,0
5.0,4.0,0.0,5,340,90,2,84,7.0,145.0,0,0
4.0,2.5,0.0,0,170,45,1,42,3.0,75.0,0,0
0.4,0.2,0.0,5,125,42,1,41,11.0,55.0,0,0
0.1,0.1,0.0,5,230,56,0,55,5.0,0.0,0,0
6.0,3.5,0.1,20,115,32,1,26,10.0,95.0,0,0
5.0,3.0,0.2,15,300,70,0,69,5.0,130.0,0,0
1.0,1.0,0.0,10,170,43,0,41,13.0,150.0,0,0
0.1,0.1,0.0,0,50,22,0,21,4.0,50.0,0,0
9.0,4.5,0.3,35,220,24,0,22,16.0,150.0,0,0
2.5,1.5,0.0,5,140,48,2,41,14.0,25.0,0,0
2.0,1.0,0.0,5,125,58,7,41,16.0,0.0,0,0
0.0,0.0,0.0,0,0,0,0,0,0.0,75.0,0,0
